"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-04",,"45","47","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-05",,"45","48","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-06",,"45","47","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-07",,"46","49","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-08",,"45","47","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-09",,"42","45","39"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-10",,"39","44","35"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-11",,"39","42","36"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-12",,"41","44","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-13",,"46","51","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-14",,"46","49","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-15",,"45","49","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-16",,"45","49","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-17",,"44","47","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-18",,"45","49","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-19",,"46","48","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-20",,"44","45","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-21",,"43","46","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-22",,"49","53","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-23",,"48","51","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-24",,"45","48","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-25",,"47","50","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-26",,"48","51","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-27",,"47","49","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-28",,"48","50","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-29",,"49","54","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-30",,"49","52","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-31",,"49","52","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-01",,"45","47","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-02",,"47","50","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-03",,"46","49","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-04",,"46","49","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-05",,"46","48","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-06",,"45","49","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-07",,"52","57","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-08",,"49","54","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-09",,"44","47","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-10",,"40","43","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-11",,"45","49","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-12",,"42","46","37"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-13",,"43","47","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-14",,"45","49","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-15",,"43","47","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-16",,"45","49","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-17",,"47","52","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-18",,"48","53","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-19",,"49","53","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-20",,"48","55","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-21",,"49","54","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-22",,"49","52","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-23",,"49","54","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-24",,"53","60","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-25",,"50","53","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-26",,"49","54","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-27",,"48","53","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-28",,"48","52","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-29",,"51","56","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-04-30",,"51","54","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-01",,"51","57","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-02",,"52","56","48"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-03",,"51","53","49"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-04",,"49","51","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-05",,"49","51","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-06",,"49","53","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-07",,"52","56","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-08",,"47","52","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-09",,"51","56","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-10",,"51","55","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-11",,"51","54","48"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-12",,"49","52","46"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-13",,"49","53","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-14",,"50","55","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-15",,"52","55","50"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-16",,"56","61","51"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-17",,"51","54","47"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-18",,"52","56","48"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-19",,"51","55","48"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-20",,"53","57","48"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-21",,"55","60","50"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-22",,"57","62","51"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-23",,"57","62","52"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-24",,"54","57","50"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-25",,"55","60","50"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-26",,"56","59","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-27",,"56","59","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-28",,"54","58","50"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-29",,"56","60","52"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-30",,"53","56","49"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-05-31",,"56","59","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-01",,"59","62","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-02",,"60","63","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-03",,"58","61","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-04",,"59","64","54"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-05",,"59","62","56"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-06",,"56","60","52"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-07",,"57","62","52"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-08",,"62","69","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-09",,"57","61","54"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-11",,"58","62","54"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-12",,"58","61","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-13",,"59","63","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-14",,"57","60","54"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-15",,"57","61","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-16",,"56","59","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-17",,"59","63","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-18",,"57","62","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-19",,"58","64","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-20",,"58","62","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-21",,"57","62","53"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-22",,"59","61","56"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-23",,"58","62","54"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-24",,"60","66","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-25",,"65","69","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-26",,"67","71","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-27",,"69","75","63"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-28",,"63","68","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-29",,"63","68","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-06-30",,"62","66","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-01",,"63","69","56"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-02",,"60","65","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-03",,"57","60","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-04",,"58","61","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-05",,"62","66","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-06",,"63","67","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-07",,"64","69","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-08",,"66","72","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-09",,"65","71","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-10",,"66","72","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-11",,"66","72","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-12",,"66","71","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-13",,"66","72","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-14",,"62","68","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-15",,"62","65","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-16",,"63","66","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-17",,"60","63","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-18",,"61","65","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-19",,"64","70","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-20",,"66","70","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-21",,"68","75","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-22",,"62","66","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-23",,"65","72","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-24",,"66","72","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-25",,"70","74","66"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-26",,"74","81","67"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-27",,"73","80","66"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-28",,"72","81","64"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-29",,"72","78","65"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-30",,"76","84","68"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-07-31",,"73","77","70"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-01",,"72","78","65"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-02",,"68","72","64"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-03",,"63","66","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-04",,"64","68","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-05",,"65","70","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-06",,"68","71","65"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-07",,"70","74","65"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-08",,"69","72","65"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-09",,"70","74","65"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-10",,"65","67","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-11",,"66","71","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-12",,"67","72","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-13",,"66","70","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-14",,"68","75","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-15",,"69","76","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-16",,"66","71","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-17",,"72","78","65"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-18",,"73","78","67"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-19",,"71","73","69"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-20",,"66","70","63"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-21",,"68","72","63"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-22",,"71","78","64"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-23",,"67","74","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-24",,"72","78","66"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-25",,"73","78","67"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-26",,"65","69","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-27",,"65","69","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-28",,"65","70","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-29",,"66","71","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-30",,"70","73","67"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-08-31",,"74","80","67"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-01",,"65","68","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-02",,"69","76","62"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-03",,"64","69","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-04",,"64","67","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-05",,"63","67","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-06",,"65","70","61"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-07",,"65","67","63"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-08",,"60","63","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-09",,"62","66","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-10",,"65","70","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-11",,"65","71","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-12",,"63","67","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-13",,"61","64","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-14",,"62","65","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-15",,"59","62","56"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-16",,"59","62","56"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-17",,"58","62","55"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-18",,"61","64","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-19",,"60","64","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-20",,"64","69","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-21",,"64","70","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-22",,"60","63","56"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-23",,"60","62","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-24",,"60","62","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-25",,"61","63","59"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-26",,"62","64","60"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-27",,"63","69","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-28",,"60","64","57"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-29",,"62","65","58"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-09-30",,"58","62","54"
